"1007_s_at","1053_at","117_at","121_at","1255_g_at","1316_at","1320_at","1405_i_at","1431_at","1438_at","202088_at","202089_s_at","203963_at","204508_s_at","205009_at","205029_s_at","205225_at","205440_s_at","205862_at","206378_at","206754_s_at","207626_s_at","209173_at","209602_s_at","209603_at","209604_s_at","210735_s_at","212956_at","212960_at","213201_s_at","214164_x_at","214440_at","215729_s_at","215867_x_at","217838_s_at","39549_at","Class"
12.444,8.3774,6.7866,10.2851,5.9064,8.0356,6.6745,6.2325,6.845,7.5774,14.6123,14.1629,12.0638,10.1763,13.285,2.9025,13.0759,8.6216,8.6098,6.1826,12.4854,7.476,12.9392,11.1535,10.5793,14.3763,11.5638,13.36,10.8422,4.2884,12.6474,12.6295,2.9565,12.6194,11.8757,3.1357,"2"
12.2005,7.8592,8.0963,10.4624,4.9582,7.0581,6.4607,6.9047,5.8878,9.8562,14.9213,14.5094,11.3553,9.3275,14.4107,2.2747,13.7616,10.7598,8.0994,15.2013,10.5188,3.5539,14.1501,10.8437,10.5772,14.0214,10.8918,13.2925,10.572,4.8678,11.7852,13.4492,1.5807,11.5534,11.8462,7.2846,"2"
12.6709,8.6762,7.4812,10.1887,5.2332,8.6061,7.0932,6.594,5.6843,7.4038,12.9683,11.7586,12.3832,9.92,14.7836,0.9203,12.736,7.7832,7.6469,12.9669,11.6232,7.2242,14.5585,10.7019,11.1181,14.5222,11.6213,12.3582,9.8482,8.3652,12.7464,12.3205,5.6368,12.7285,12.0364,4.7775,"2"
11.6619,8.2557,7.9923,10.7705,6.3296,8.4776,6.5878,6.0877,6.5169,7.4714,12.8995,10.9894,10.9812,8.9128,12.0603,2.7532,13.8228,7.4413,9.0361,5.8929,7.5591,4.4968,14.3163,11.6447,12.3437,14.9144,9.7456,13.1325,10.6942,8.9668,10.9562,8.7672,2.251,11.0454,12.1382,6.4645,"2"
11.8397,8.7971,7.8321,10.2869,5.8389,7.3419,7.3167,6.3456,6.1708,6.7615,12.502,11.5502,8.7607,4.8606,6.9898,13.4003,8.3607,3.6891,7.6014,5.7849,14.788,8.1799,11.0182,7.3628,7.7225,10.8821,8.3891,10.8038,8.4035,5.3777,9.6913,9.8562,6.2959,9.8391,7.6534,5.8185,"1"
11.4081,8.3247,8.1169,10.8844,6.8532,8.3028,6.8949,9.7756,6.4111,8.8939,11.1754,9.8817,8.3969,4.5569,7.1037,3.9199,8.9998,6.7869,5.6895,6.6871,7.6447,3.5565,5.4825,8.1069,8.4591,12.2287,8.259,8.3545,8.372,8.2788,8.7343,8.1629,11.292,9.3945,9.5579,4.9743,"1"
12.5829,8.9015,6.6237,10.3222,6.313,7.3125,4.1054,7.9978,5.6377,9.0028,14.1768,13.4754,8.2397,6.4544,13.5421,2.6535,12.8445,8.8298,9.8265,7.1346,10.5207,7.1557,13.7543,10.3437,10.5914,13.3798,7.8738,13.433,10.9367,7.117,9.2602,9.6743,0.0799,9.2365,10.1702,2.2151,"2"
12.1237,8.7101,7.8795,10.6651,6.3526,7.7251,5.5228,7.767,6.8468,9.4647,11.4306,10.4048,9.4002,4.723,7.5852,6.6777,8.974,6.6494,6.0514,15.2771,7.3345,4.2114,12.497,7.5764,7.356,11.0112,8.6826,10.0088,8.3818,4.4904,9.7714,8.5573,8.5529,10.1242,8.2785,6.3327,"1"
11.098,9.7493,6.7152,10.47,6.1595,6.8715,6.9222,7.483,5.4643,10.8205,11.5128,10.5191,6.9433,3.7788,7.5176,5.414,7.0561,7.2961,0.6249,2.3066,6.8551,3.9754,3.0703,6.6175,6.6269,9.7734,7.3029,8.9243,7.6843,3.7225,7.4908,7.1961,9.357,8.4811,8.4605,2.184,"1"
12.4537,7.5118,8.2514,10.8806,5.7161,8.1207,7.2478,9.2592,7.0132,8.4017,12.9006,11.262,11.2113,8.4624,13.5271,7.2428,11.8396,10.4505,7.6694,9.0507,12.5394,6.6261,13.5102,10.1296,10.2397,14.1152,10.0083,11.8889,9.8482,6.3938,11.6491,13.2828,3.1103,11.8321,10.7519,5.8494,"2"
11.1349,7.6111,8.7835,11.1829,6.7063,8.0528,7.6256,10.7755,6.8954,7.1327,13.8576,12.7289,10.975,9.0767,11.8091,4.0579,12.4562,7.4452,4.9057,7.6646,7.9484,6.8438,12.2194,9.9895,10.0288,14.088,10.7399,12.4273,9.1346,6.6855,11.9349,10.5,5.2469,12.0586,11.1963,3.8037,"2"
11.8757,8.0035,8.1103,10.6567,5.7084,7.2557,5.0792,7.1722,5.6942,8.1523,14.5652,13.5852,10.7894,8.8618,14.9576,3.4555,12.2024,12.6169,10.0934,7.3443,9.1798,4.9164,12.7413,10.9835,10.9478,14.6333,9.7376,12.4745,9.951,9.4616,11.1997,10.7921,3.9259,11.2566,11.7824,4.258,"2"
12.6326,8.3098,7.4773,10.4499,6.2087,8.2354,6.9086,7.8135,6.3751,9.0223,11.6836,10.383,9.2444,7.2568,7.2508,4.3995,7.987,2.4328,6.5143,10.9761,5.6576,3.8961,11.9726,9.1959,8.886,13.2361,9.0941,10.9061,8.6924,10.8879,9.802,8.4331,5.8684,9.8661,9.5908,6.6734,"1"
12.5807,8.0104,7.5885,10.1383,6.7935,8.0392,5.0627,8.2889,6.2767,8.3341,12.932,11.4773,10.8107,8.201,12.0302,3.5527,10.1026,3.6658,6.6643,11.6957,7.2889,2.8542,12.5589,10.1162,10.1557,14.1058,9.6425,10.9066,8.57,3.5288,10.9737,10.0989,5.6927,10.931,9.714,6.7817,"1"
12.4304,7.6919,8.0937,10.1545,5.2033,8.6325,6.1289,9.7141,6.2651,9.7055,11.4543,10.0365,10.3061,8.4555,11.2714,6.2372,8.0999,6.5555,6.7538,7.1321,7.9678,4.2359,12.1779,9.2392,9.0275,12.722,9.4931,10.6692,8.664,3.8446,10.8545,8.7904,2.1542,10.7828,9.5206,5.6251,"1"
11.9454,7.4614,8.4695,10.7476,4.7954,7.9473,4.9733,9.1354,7.0174,7.0581,11.3805,10.3296,9.284,5.8544,4.2927,2.8189,8.5567,2.5115,4.3118,15.5148,5.7934,3.2843,13.0221,8.8079,8.4549,12.5708,8.8212,10.2593,8.0576,10.1851,10.1915,8.9649,3.3872,10.5213,8.8303,6.7875,"1"
12.1154,7.9201,6.207,10.5313,5.2639,7.6032,4.6133,7.9468,6.1417,9.6857,13.8154,12.8094,10.3446,7.7363,12.4858,7.2878,10.7157,9.3726,8.3615,12.0641,7.5721,5.5392,11.9956,8.9575,8.9255,12.6522,10.0638,11.99,9.418,4.0985,10.8192,8.9039,9.8497,10.7924,9.5858,5.9577,"1"
11.9077,7.6548,9.1468,11.5483,7.6554,8.4888,7.8146,8.4765,6.7768,8.9326,10.0835,9.6299,8.508,5.4881,8.3331,5.4765,8.5834,7.9959,3.9198,6.7285,7.9186,5.5657,4.7856,3.9655,8.068,10.8359,8.9721,8.9875,9.2876,5.8045,8.7484,8.8652,8.4034,9.3723,9.1748,3.168,"1"
11.8592,8.7641,6.7698,10.6987,4.7912,6.656,6.4332,4.2077,6.6082,8.3433,12.1994,10.989,12.0857,10.3608,11.2981,4.905,12.8623,8.8473,10.2367,15.0287,12.6914,6.7468,12.4992,11.2706,11.4367,14.664,11.9763,11.6637,9.3393,9.3871,12.8061,10.0699,2.3699,12.5183,10.4109,2.4011,"2"
12.0612,8.3111,8.0799,10.6865,5.6633,7.5659,6.3549,8.3521,6.6752,7.8008,14.8448,14.4436,12.6455,10.4822,14.0007,3.6396,13.764,12.6589,8.6706,15.4702,11.5871,8.4885,12.7371,11.3341,10.3884,14.508,12.0741,13.9558,11.7924,4.9498,13.1942,14.6369,1.7151,12.9994,11.8275,7.881,"2"
12.7259,8.4282,8.3729,10.7377,6.5928,7.8665,4.2708,8.7554,6.5377,7.651,14.7702,14.2569,11.916,9.5693,15.2189,6.3044,11.444,3.4679,10.0397,11.2528,10.4399,4.9683,14.6533,10.8359,10.9906,14.3534,11.0802,13.1016,10.4734,7.9428,11.9813,12.7442,4.4885,12.217,10.139,5.2643,"2"
12.3641,8.9391,7.882,10.1676,5.9152,6.9513,7.0466,8.9847,6.2463,9.2795,12.2009,11.1723,8.6398,6.3788,11.6909,1.2731,7.4728,6.0069,5.5229,9.0831,7.1454,4.0705,12.0081,10.3926,10.4111,13.6927,8.6477,11.971,9.4486,3.6708,9.5298,9.0391,3.8248,9.5794,9.6102,7.3757,"1"
12.0602,8.6066,7.6073,10.6249,6.8988,7.7108,7.1393,7.5392,6.4236,4.8455,12.9895,12.0075,8.8253,6.2395,6.9303,10.658,8.4135,1.7375,7.8444,6.0913,14.3442,4.5808,10.4745,6.7092,7.4519,10.2794,8.9561,9.7345,8.2824,4.3296,9.7979,8.6642,5.049,9.7829,8.1124,4.9221,"1"
11.281,8.6218,8.3951,10.6988,6.4474,7.8661,4.4736,9.5239,5.8614,10.5521,10.7953,9.9015,8.6587,4.7333,7.6352,7.271,6.8669,5.9043,2.7226,5.5193,4.8695,5.361,3.8255,7.6899,7.9928,11.3702,7.6934,9.3805,8.1298,5.8475,9.1679,8.574,7.03,9.5442,8.8584,5.2721,"1"
12.5553,7.4527,8.5629,10.3224,6.174,7.4899,6.7191,6.6043,6.8494,8.2723,14.5712,13.7197,11.7422,9.3072,11.2667,10.7932,14.2366,6.9536,8.2397,6.1735,12.5693,6.1054,12.5434,11.4216,11.508,14.4045,10.4727,13.1174,10.643,6.4542,11.8014,13.5126,3.5265,11.9344,12.1268,6.0256,"2"
12.2333,7.8985,7.4182,10.2844,5.0717,6.6916,3.891,9.7605,6.2231,7.8735,14.1932,13.4658,11.728,9.7793,11.9065,2.5779,13.7238,7.232,9.5064,10.7462,10.1326,5.7895,14.0505,11.2286,11.5596,14.3113,10.7946,13.7972,12.27,9.4534,12.0271,12.3125,1.9596,11.8592,11.5888,1.2808,"2"
11.8859,7.5916,7.0778,10.6391,6.5024,7.797,6.2379,6.6208,6.411,9.9146,13.0582,11.9682,10.3171,8.1056,10.5717,4.9048,11.4232,10.0487,7.0217,6.5996,11.0953,7.8673,12.0435,11.578,11.7166,14.7897,9.9596,13.2411,10.8471,8.4078,10.4683,13.3354,1.7007,10.5819,11.5862,6.4407,"2"
12.1708,7.8654,8.1378,10.9722,6.3551,8.5748,4.9378,8.2851,7.7601,9.5658,13.8039,12.3272,11.356,8.7031,15.1741,3.4077,11.3391,8.7703,8.9754,15.1746,8.4029,4.6189,13.3049,8.3442,8.9839,13.169,10.3508,12.5047,10.4006,9.2998,11.6847,11.2106,6.2134,11.6647,10.318,3.7341,"2"
12.8908,8.094,9.3695,10.7094,3.5129,7.1841,7.1036,10.6763,6.255,8.011,10.5884,9.5577,8.3462,4.5763,7.456,3.8579,8.4676,2.2866,2.612,9.9633,6.8341,4.1226,2.7363,8.2722,7.8222,12.1343,8.6782,8.9354,8.0405,5.4763,8.8358,8.3989,10.3828,9.0829,9.5531,7.7487,"1"
12.0125,8.3706,7.5099,10.5047,6.609,7.8796,6.8698,6.6663,6.17,9.1196,12.3104,11.1846,7.7502,4.1328,8.7801,13.6065,7.6136,5.8714,6.982,6.5231,6.3841,4.8073,12.1989,7.4846,7.5922,11.4554,7.4385,10.5317,8.7878,4.8261,8.3473,9.2643,1.8945,8.7861,8.3891,7.137,"1"
11.1958,8.5326,8.0492,10.1873,4.7842,7.3467,5.1661,10.953,6.0888,9.4018,11.0008,10.1474,7.0838,4.7115,7.0622,9.5716,8.4559,6.831,5.1907,5.1079,6.7498,6.7218,3.0943,6.5262,6.7856,10.1851,7.6504,10.1753,8.5951,4.3345,7.5039,8.8052,10.5956,8.1038,8.5696,5.5392,"1"
11.5379,8.6753,7.9931,10.5404,2.4833,7.2883,7.1591,8.1448,5.322,10.4916,11.6687,9.9148,8.9223,5.852,8.2434,10.2186,7.8963,9.2353,6.9668,14.2867,5.48,4.3891,8.6453,7.2882,7.3408,10.699,8.5991,9.7544,8.3719,7.3113,9.6233,9.2215,8.0793,9.7983,9.1637,6.805,"1"
12.2426,8.6863,9.017,10.358,3.8942,7.724,6.2153,8.4125,5.773,10.5751,12.2739,11.2576,8.1957,5.6595,7.0424,7.0262,8.15,8.8528,5.7937,9.1909,7.1052,4.7844,6.9472,8.4579,8.4789,12.1241,7.985,9.7492,8.2607,4.0866,9.2567,9.0208,10.2683,9.3203,9.3707,5.5615,"1"
11.7422,8.3868,7.0016,10.2935,6.3874,7.5293,6.7464,5.7107,6.6221,7.7011,14.3521,13.7677,12.1092,10.076,12.8873,5.3168,12.7341,11.7697,10.8913,8.2907,7.0218,8.7955,12.8912,10.9844,11.1457,14.3155,11.5397,12.6052,10.1141,8.9135,12.2213,11.942,1.6071,12.3123,10.8835,5.9411,"2"
12.1271,7.2132,7.9736,10.9648,6.1438,8.5276,6.3717,7.539,7.4931,8.5073,14.6268,13.4121,11.6731,8.0906,11.5199,3.2306,12.9117,7.0192,8.8619,13.4582,8.3354,7.3792,10.1942,11.3471,10.9915,14.9286,11.2167,12.7904,10.6801,6.5507,11.885,11.2301,3.94,12.1451,11.5948,3.7556,"2"
11.9852,7.7999,8.0232,10.4751,6.0201,7.0972,6.1842,4.6252,6.7049,7.9032,14.6215,13.7118,13.0861,11.4458,14.5542,0.7843,13.8611,3.2194,9.2879,13.5604,8.2143,7.1047,14.6352,11.4407,11.4351,14.3454,12.572,13.3609,10.7132,7.5989,13.5777,12.9845,1.5849,13.3377,11.375,2.108,"2"
11.831,7.5973,7.9636,10.3086,3.9819,8.3119,4.5094,8.5723,6.6006,7.803,14.5849,13.5653,12.2741,9.7068,14.3963,3.3148,11.6071,14.3158,8.2527,6.4024,12.9351,7.656,13.5063,10.8253,11.157,14.4465,11.2184,12.8879,10.1562,8.3551,12.6334,14.0729,3.4418,12.4268,12.5505,4.7677,"2"
11.9298,6.9393,8.6826,11.1207,7.2069,8.8439,5.089,8.2054,7.541,8.8032,12.272,10.9032,11.9837,9.3395,8.9114,3.6023,12.9999,9.9379,9.0777,3.2624,11.1861,5.8981,10.5679,10.7504,11.0987,14.404,11.1162,11.3677,8.4909,5.1455,12.2108,12.3862,2.2721,12.156,12.1861,3.5396,"2"
11.5563,8.5456,7.1632,10.3012,6.4049,7.781,7.0353,4.3758,6.2408,9.228,14.6166,14.0442,12.1658,9.8688,11.7011,8.183,14.1548,12.9115,9.2368,13.8311,10.1335,7.8581,13.1252,11.2149,11.3986,14.3343,11.73,13.2225,10.0517,8.8349,12.3533,14.3388,2.6906,12.3598,10.7861,1.6548,"2"
12.3898,8.2476,8.0326,10.5134,5.3924,7.9979,4.8716,7.7394,6.8398,8.2578,13.5248,12.5275,11.7799,9.4071,14.4898,5.171,11.7896,9.6092,7.0331,10.6391,8.3816,7.419,15.2752,10.5645,10.7427,14.2872,10.7053,12.177,8.2661,9.4362,11.7466,11.5947,4.5106,11.7531,10.8032,4.2214,"2"
12.2223,8.2085,6.9243,10.6213,6.4243,7.6972,5.2509,6.6306,5.8929,9.0887,14.1483,13.6885,12.0982,10.1436,12.5176,3.2335,13.1663,10.9252,9.2656,12.2143,13.0941,8.1493,11.7927,11.4773,12.036,14.4551,11.1614,13.0678,10.6223,9.4897,12.6511,11.9927,2.1948,12.4881,11.0543,5.6723,"2"
12.2161,8.3784,9.2722,10.2165,6.3052,8.0228,6.6273,9.0395,6.6244,10.5251,9.1827,8.807,7.3925,3.1318,7.6229,7.5902,7.4166,3.8593,5.7083,8.935,5.3369,4.4086,3.553,7.8565,7.7591,11.528,7.8961,9.2101,8.3023,7.8973,7.8891,6.9822,10.8661,7.8491,9.5212,3.2293,"1"
11.3958,9.0461,7.7128,10.5946,5.9523,7.8164,6.5998,10.243,6.2809,10.4048,10.9274,9.6906,7.9611,4.7862,7.6033,7.1734,8.6856,10.7432,6.1798,5.5278,6.7483,4.1337,8.3373,5.773,5.3853,9.4435,8.7508,8.8312,7.99,3.9969,8.2866,8.159,6.6686,8.7277,9.7588,6.1143,"1"
11.9744,8.3758,7.0766,10.8679,6.8361,8.2426,5.1371,8.2829,6.4484,9.1156,13.5231,12.0902,11.8307,9.3766,14.0673,2.1234,12.0832,13.0675,8.8133,10.7941,9.9301,8.4158,14.1774,10.3976,10.4631,14.7315,11.1342,12.2257,10.2502,5.7185,12.2398,14.7162,2.6082,12.3237,13.0999,3.6365,"2"
11.7052,8.1315,8.3681,10.8449,3.8701,8.0314,6.7988,9.0597,6.5377,10.6929,11.337,10.3754,8.0296,3.5843,5.4989,7.3938,8.1952,5.6536,2.664,5.7888,4.486,7.0917,6.6653,7.2402,7.2157,11.3759,8.11,8.6669,8.4119,4.6241,8.1543,8.7538,6.1628,8.8596,9.4687,5.5353,"1"
12.7443,8.4647,7.8223,10.5702,5.4462,7.9954,5.0945,9.2264,5.9951,8.7336,11.9665,11.1186,11.5362,8.9374,11.159,5.3151,10.719,1.9116,5.3361,14.4826,5.5528,4.7332,11.7801,10.4453,9.6384,14.1977,10.285,10.5998,8.7242,8.756,11.4492,9.3593,3.5924,11.3998,9.3471,3.8283,"1"
12.2154,8.3121,7.2899,10.1917,6.2535,7.8315,4.248,6.798,5.9374,8.1621,12.5746,10.8328,12.0082,10.1122,15.1283,5.6973,12.9374,11.46,9.328,8.5251,6.7119,4.3627,14.2068,11.2285,12.2846,14.8685,10.8788,13.022,10.5886,9.4491,12.5708,9.436,1.6383,12.2942,12.9724,2.9299,"2"
13.312,7.8254,6.9466,10.4662,6.848,8.022,7.1205,7.4278,7.3725,9.0078,14.5636,13.7449,13.321,11.2929,7.9923,3.8335,12.5191,14.7333,6.7728,8.1157,13.6082,7.4375,12.4865,11.2332,11.2264,14.8729,12.4535,13.4395,11.0586,10.0338,13.7442,8.6102,2.9893,13.5062,9.9225,4.8006,"2"
12.2111,9.0572,8.5728,10.062,6.2139,7.0238,6.6909,7.8728,7.1817,8.4561,12.0894,10.6339,8.8828,6.8452,5.4583,4.0575,3.6784,4.6527,6.0758,15.0898,3.9488,3.4461,11.402,6.7967,7.164,11.1143,8.3163,8.8364,8.2816,5.5353,9.882,8.2756,1.7282,9.9496,8.6887,6.0841,"1"
11.175,7.5085,6.6375,9.8587,5.1536,7.558,7.4825,8.0259,6.5518,8.6835,13.293,12.0619,11.0726,9.1324,13.8246,3.8768,12.0389,10.6663,10.3847,6.9035,10.7713,7.4713,13.3625,10.9272,11.0791,14.2505,9.8943,13.5637,10.8038,7.0928,11.2563,8.6438,3.1802,11.2328,11.4232,3.6231,"2"
12.1514,8.1922,7.162,9.8131,5.6407,6.1357,6.8133,8.3269,6.4509,7.8662,11.7379,10.5638,8.5622,7.0044,14.8624,5.7111,8.2599,4.3719,2.6665,11.8124,6.3018,5.1242,14.1808,8.2617,7.8118,11.6584,7.7867,11.359,8.3448,4.0524,9.4506,7.7187,9.8613,9.7074,9.5392,6.6631,"1"
11.4223,7.4375,7.9292,10.0836,5.4157,6.9798,7.0511,7.6577,6.0906,7.338,13.9358,12.8618,11.5175,9.7578,10.9416,2.5227,13.6226,11.5748,10.0776,12.0712,8.5557,6.7751,13.2253,10.4623,10.6735,13.9018,10.7831,12.5382,10.4601,4.1395,12.0394,11.5999,2.6362,11.5032,9.264,4.1765,"2"
12.0307,8.4269,7.7089,9.721,4.8613,7.1219,5.0632,8.3368,5.938,8.4986,13.4694,11.9585,10.3906,8.353,10.636,3.8878,10.8245,2.8139,5.2106,14.8774,4.495,4.8009,13.6606,9.3914,9.0168,12.9159,8.5793,11.1295,8.1114,2.9514,11.076,8.3304,3.3684,11.2002,11.3047,2.2808,"2"
12.7472,9.0996,7.3965,10.1024,5.4298,6.777,7.0498,8.5157,6.7085,9.1524,12.009,10.677,11.86,10.3654,13.4355,3.4613,7.4097,2.9088,4.9951,14.1887,6.8992,6.9435,13.5065,7.5495,8.0759,12.7958,11.0401,9.6608,8.8188,8.2043,12.7615,8.0431,8.5637,12.6609,9.0761,4.1233,"1"
11.2817,8.9329,7.7798,9.6646,4.9849,7.7264,3.4814,6.4753,5.754,6.0916,13.5839,12.8539,12.4411,10.7588,14.0402,2.2075,13.5035,6.9738,7.2195,10.9679,12.1784,8.3198,13.0059,10.4448,10.629,13.7334,11.7114,12.2744,10.1967,4.5086,12.7348,12.8065,-0.4146,12.4754,10.88,5.8943,"2"
13.2494,8.3434,8.0536,10.0269,6.5806,8.1692,6.9459,6.6733,6.3809,8.5297,11.7664,10.5498,11.8202,10.1203,8.681,2.5782,12.0186,4.8975,6.4805,13.837,13.1538,7.7662,12.3969,9.9629,10.7869,14.2651,10.8935,10.9664,9.4758,9.8769,12.2847,12.0965,5.1159,12.3601,9.9765,3.0701,"2"
13.9012,8.0363,8.07,10.1831,4.6155,7.5931,3.7546,7.9239,6.3637,9.021,13.9572,12.9901,12.7794,10.8232,13.4326,6.1219,13.483,8.1088,6.6332,14.9511,10.4051,7.0505,14.4849,9.9886,11.1849,14.5038,11.8609,12.3577,11.1463,9.7626,13.5292,13.1922,4.824,12.9799,9.7597,5.7722,"2"
12.8156,7.6095,7.8763,10.0088,5.1124,7.5027,5.5994,7.4945,7.3868,8.0802,12.3134,11.0425,11.7608,10.2651,10.3757,4.7032,12.1408,7.383,5.5035,13.9515,13.6021,5.8322,12.7312,9.4858,10.725,14.5693,10.9715,11.6939,10.3844,11.0877,12.8285,10.7519,2.5159,12.1248,10.2444,2.768,"2"
13.0941,8.2012,7.7559,10.3299,4.7353,7.3013,4.7611,8.2215,6.5646,7.7407,13.21,12.3137,12.1047,10.1747,14.5772,5.6457,12.2749,9.63,5.8866,9.7807,8.7143,3.7826,15.0447,9.4651,10.7588,13.8295,11.3171,12.2083,11.3707,7.6053,13.0173,12.7617,1.701,12.5534,12.1172,3.7246,"2"
11.3834,9.0703,9.1601,10.0044,5.6649,7.6541,5.511,10.3984,5.696,8.6588,12.4048,11.4741,9.659,7.6257,6.3782,1.8203,7.7153,5.048,2.8125,7.9466,8.8027,3.9639,14.1475,7.2383,7.6964,11.0267,8.6828,9.8368,8.438,5.074,9.9437,8.568,2.6172,9.9286,7.9828,5.9992,"1"
12.129,7.4496,8.8902,10.7078,7.6729,7.4945,5.1442,6.7283,7.3074,8.3044,13.1868,11.9571,11.8247,10.746,9.9193,3.9006,13.0559,9.2967,6.7253,8.8837,11.1075,6.2631,12.1792,9.6359,10.9914,14.3148,10.8518,12.9762,10.5611,8.6156,12.2478,8.4377,2.7682,12.313,12.5353,7.2674,"2"
12.773,6.7233,7.9394,10.25,6.2095,8.4165,6.6682,7.4288,7.4026,7.4201,12.7765,12.047,13.5149,11.6026,12.5198,3.7642,14.0098,6.5173,7.3717,11.0894,13.7228,4.8396,12.8061,7.9591,9.569,13.8379,12.8864,10.3379,10.3516,10.7164,14.0764,11.0875,3.7095,13.9752,9.8219,4.4607,"2"
11.8927,8.0734,7.7017,10.047,3.2102,7.4058,6.0592,7.9105,6.8931,8.3911,14.1245,13.3041,12.1587,10.7002,10.4686,4.1736,14.0217,7.4954,8.0169,6.5719,14.6157,4.1319,13.0796,10.8931,11.3047,14.4673,11.1198,12.5246,10.062,8.5691,12.7134,13.3407,0.816,12.4954,11.7453,5.9327,"2"
11.6298,9.2991,5.5157,10.3062,5.0891,7.1694,4.2975,5.3686,6.1596,8.2974,13.8195,13.1583,9.5252,7.4145,12.1257,0.9597,12.5402,7.8973,8.1114,7.2909,13.6878,7.7871,11.3817,11.0902,11.802,14.3213,8.7158,12.7891,10.1193,8.5687,9.4755,8.5419,3.267,9.8276,10.9317,1.4356,"2"
