"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V23","V25","V26","V27","V29","V30","V31","V33","V34","V38","V40","V41"
67,68,73,78,65,63,67,60,63,62,76,79,70,70,67,65,67,75,63,76,74,77
75,74,71,71,62,58,70,64,71,68,73,72,66,60,66,70,64,70,64,68,69,66
83,64,66,67,67,74,74,72,64,68,73,69,63,57,53,67,60,74,69,69,68,54
72,66,65,65,64,61,71,78,73,69,71,65,64,60,69,70,69,72,61,68,71,72
62,60,69,61,63,63,70,68,70,65,73,75,76,67,69,66,71,61,54,58,72,73
68,63,67,67,65,72,74,72,70,71,69,67,64,59,65,73,70,69,63,70,77,71
80,76,77,76,67,68,71,76,69,66,75,66,58,62,66,55,40,71,67,62,59,45
68,63,62,58,60,57,69,78,59,53,77,49,53,44,74,64,66,63,52,74,77,74
77,61,71,69,70,66,57,55,67,67,76,71,63,44,25,21,18,79,57,41,19,16
69,68,73,74,62,67,74,73,67,65,71,69,40,38,59,67,67,78,65,76,74,73
65,69,70,71,56,63,63,70,44,51,65,48,58,43,62,71,70,73,71,68,62,59
65,63,73,75,67,61,76,65,62,62,72,50,39,36,51,41,43,70,56,66,49,43
71,73,65,80,62,67,65,77,66,68,78,77,60,59,61,53,46,75,67,62,62,60
64,75,52,46,59,54,79,78,61,68,78,32,40,43,78,49,49,39,31,51,60,56
62,54,65,65,24,31,79,66,53,54,78,47,27,34,78,68,68,68,60,55,68,71
57,43,62,50,43,57,61,44,44,24,72,71,42,44,74,29,19,77,65,57,27,12
67,65,61,61,60,62,75,74,68,68,75,70,67,63,67,69,66,77,64,70,75,66
62,54,73,68,72,71,76,76,62,52,59,55,72,65,70,69,66,66,61,60,74,68
67,59,54,48,63,67,77,78,71,61,67,50,39,33,50,57,50,41,38,80,61,48
65,56,67,58,76,79,70,71,59,50,65,62,63,70,55,59,52,60,59,54,57,52
71,56,75,74,61,69,73,73,65,63,81,60,39,39,72,58,64,71,56,70,57,63
73,59,76,61,67,52,66,46,70,59,66,58,30,14,41,54,41,66,77,74,58,47
77,69,77,79,60,59,65,68,57,54,71,63,43,38,49,53,42,73,62,59,55,43
66,65,72,74,59,61,67,65,59,58,59,72,54,45,64,61,60,74,58,74,75,74
69,80,67,67,62,61,65,67,62,71,69,72,51,39,50,64,63,70,59,65,66,67
74,67,69,75,59,57,70,68,70,62,72,66,60,57,62,59,38,66,71,66,70,50
66,70,78,75,69,64,70,66,66,69,69,63,51,50,43,41,49,74,67,76,65,69
79,58,73,78,67,65,74,71,64,54,64,67,60,57,51,65,68,75,66,66,71,67
61,66,64,65,62,66,74,67,60,62,78,80,76,76,73,65,73,63,53,62,73,73
63,69,70,72,66,70,66,72,71,67,77,66,62,59,58,61,65,75,63,71,68,70
73,67,74,73,79,75,76,77,61,60,76,80,72,69,59,71,68,79,68,63,68,66
66,68,67,72,65,71,71,71,60,67,80,69,70,65,65,62,66,76,59,67,70,75
55,54,71,74,21,25,60,27,69,64,75,58,42,37,54,20,15,73,66,77,24,35
70,68,68,70,56,54,66,67,68,70,55,61,46,49,52,66,72,65,62,69,67,70
71,71,77,82,64,63,73,71,66,64,79,65,63,63,67,68,70,77,60,77,71,75
57,44,74,68,82,76,78,62,66,67,71,71,69,65,63,54,63,74,73,63,71,71
72,71,70,72,63,69,71,73,71,71,78,67,62,60,59,69,66,75,57,68,69,64
60,58,74,68,44,48,85,60,56,48,52,42,20,23,60,38,41,70,64,69,65,55
33,21,38,54,60,52,41,50,26,29,78,67,62,47,57,23,26,74,52,49,11,13
58,70,62,73,34,41,55,54,65,77,64,58,60,59,70,45,40,74,52,67,36,39
58,40,57,43,74,57,78,53,68,58,61,56,48,63,77,13,7,52,54,53,17,6
77,77,70,71,68,66,75,75,73,72,79,64,60,55,68,76,74,75,65,71,73,73
65,67,67,61,55,57,66,74,64,69,73,70,47,39,75,67,64,66,53,60,74,63
77,59,76,78,40,34,75,63,65,26,56,47,12,6,23,56,48,55,63,65,56,57
64,59,76,72,55,52,63,66,68,63,73,67,49,42,51,58,48,73,76,73,72,51
57,63,67,82,69,67,63,70,74,64,69,63,54,50,53,59,60,74,72,70,73,70
58,57,74,71,59,60,54,59,33,39,78,57,56,56,61,60,62,76,59,53,61,74
61,66,64,74,51,55,64,63,67,67,66,62,43,35,65,61,56,73,59,67,55,61
67,80,73,76,74,69,78,81,67,68,81,69,59,63,63,67,66,73,61,65,69,63
69,55,75,73,63,64,70,66,61,75,69,74,48,48,66,64,68,71,60,67,65,70
77,63,68,70,66,70,80,79,60,57,47,77,62,66,62,57,69,75,62,56,74,76
46,47,65,68,41,48,52,45,54,47,79,60,49,52,45,31,36,71,63,66,26,35
67,74,73,74,54,63,58,72,59,71,84,67,33,38,69,62,65,72,54,53,58,67
73,70,69,75,62,62,67,70,70,76,74,69,56,44,65,68,69,71,57,62,66,62
68,77,67,70,64,62,79,80,64,64,77,74,72,73,71,67,69,73,64,68,77,69
57,70,65,71,58,69,74,81,67,72,78,72,41,38,48,63,68,77,62,70,77,81
47,47,48,69,80,52,52,52,58,46,63,70,33,19,46,44,43,57,43,36,47,57
64,75,74,73,57,61,63,70,63,72,63,77,29,28,52,64,68,73,59,58,56,73
58,66,63,61,66,68,75,79,61,63,76,72,60,60,65,64,70,68,59,58,58,73
73,71,71,68,64,60,72,76,75,70,73,58,56,51,57,71,68,77,72,72,72,64
67,66,67,65,74,65,76,70,71,68,72,49,45,35,67,67,64,66,62,72,72,66
78,75,69,66,69,71,75,75,67,67,42,43,61,61,73,62,64,37,28,73,72,74
70,69,69,67,69,68,72,73,63,71,70,72,56,55,71,69,70,69,56,68,80,77
65,65,71,77,70,68,73,72,68,65,75,72,57,43,68,67,67,66,57,64,63,58
66,73,75,74,67,67,73,71,72,63,67,72,66,59,69,70,73,74,62,64,78,75
59,55,51,65,68,45,21,25,45,41,75,77,33,31,17,39,43,73,61,44,36,47
72,69,65,65,66,67,76,78,72,70,79,67,57,51,56,68,63,77,61,77,76,64
65,50,74,72,62,59,71,66,67,55,80,67,60,68,68,48,40,74,56,70,62,47
63,54,76,69,72,66,69,66,61,53,70,71,62,65,59,69,62,77,66,59,71,62
54,52,58,55,62,54,75,74,61,58,71,40,40,19,77,55,56,68,44,62,61,62
67,58,59,54,60,65,75,75,63,61,81,76,74,50,66,57,47,51,54,63,68,59
60,59,67,58,66,60,72,79,74,75,81,56,42,42,59,62,66,73,59,71,70,69
62,80,54,68,66,70,68,69,68,70,65,74,53,61,67,68,72,72,61,64,68,70
54,42,57,60,61,44,39,54,12,22,60,60,48,38,36,29,22,54,72,33,23,28
65,70,68,71,63,59,75,75,65,63,81,82,71,57,67,62,69,75,60,73,71,77
59,75,77,80,60,64,70,67,54,68,77,65,54,54,58,61,64,74,67,70,60,65
71,74,71,74,62,53,68,64,69,68,71,53,51,38,72,68,68,71,60,74,66,59
72,71,74,73,64,60,68,71,72,69,79,58,63,57,70,72,59,60,63,68,68,63
68,64,63,61,80,72,70,69,73,69,79,80,68,63,62,67,63,75,55,64,70,64
58,65,78,76,64,58,74,70,63,57,70,66,32,29,56,57,63,72,61,77,72,62
60,64,61,74,57,63,67,70,59,65,85,46,31,35,79,58,64,75,59,62,69,61
51,43,66,63,54,56,71,75,65,63,74,69,62,55,59,61,48,66,63,70,78,67
57,55,56,53,51,44,68,56,68,66,63,62,44,41,45,42,61,51,68,62,57,52
68,70,70,69,65,63,71,74,73,70,73,71,62,56,63,65,65,75,59,69,62,64
57,29,71,51,65,41,67,45,63,39,82,66,62,65,61,51,25,72,55,72,74,40
49,46,59,44,59,26,56,32,69,57,40,35,33,20,38,35,25,51,59,64,37,12
75,75,64,63,58,58,75,77,73,74,74,66,60,61,58,47,40,63,58,59,60,57
71,66,66,71,50,41,77,60,57,58,63,61,30,14,41,38,36,65,44,70,56,58
73,60,68,54,75,63,77,72,60,54,76,68,66,57,62,66,60,66,61,69,79,67
67,70,63,48,63,60,76,75,65,52,62,64,54,62,78,70,59,49,59,76,72,61
68,73,78,83,70,71,77,74,65,61,86,79,72,58,57,65,53,75,58,72,69,65
62,54,68,70,51,28,54,23,54,54,67,75,17,16,44,36,19,72,62,63,48,44
75,74,69,73,64,61,71,71,61,58,82,80,55,55,70,65,67,77,61,70,67,68
79,77,78,70,69,65,75,75,69,66,69,53,61,56,69,75,66,71,65,72,68,63
68,62,64,65,70,69,76,75,63,59,83,69,73,78,83,71,70,63,54,61,77,76
68,74,76,84,72,72,85,75,73,70,76,64,48,47,54,62,64,76,65,70,67,58
70,69,66,66,66,67,78,80,70,65,74,76,60,52,63,63,61,71,60,72,73,68
73,80,82,84,71,71,77,75,61,58,76,76,58,63,62,58,57,77,57,68,55,49
71,67,77,74,67,61,75,71,74,69,68,70,61,59,67,69,66,70,64,70,66,51
73,70,77,79,61,59,72,66,65,66,74,62,66,63,70,63,60,65,56,67,53,62
63,63,72,75,60,61,62,63,61,63,78,73,55,54,68,63,64,77,64,63,72,78
75,67,74,75,75,69,72,72,67,66,75,71,74,68,78,71,67,68,60,66,79,71
64,60,55,51,59,59,81,79,66,59,67,73,53,44,53,65,61,64,55,75,73,77
74,77,80,77,69,64,79,76,70,68,77,61,48,45,54,66,65,78,61,71,55,60
69,66,67,67,75,78,78,69,60,62,67,63,65,64,64,62,63,72,69,70,62,47
75,79,65,74,63,64,74,73,73,71,78,70,60,60,61,70,65,71,62,72,72,66
69,65,72,68,70,71,76,78,64,62,66,75,65,67,55,71,72,75,62,66,79,75
70,69,72,70,72,76,78,72,62,57,74,60,56,57,60,61,61,76,59,74,76,77
61,66,70,74,59,64,72,73,64,65,75,76,65,64,73,65,70,72,53,66,75,80
70,60,75,78,69,69,68,71,68,59,72,79,75,75,64,73,75,74,63,66,72,75
76,75,75,77,75,72,75,75,68,75,77,72,66,63,68,69,65,76,58,65,73,71
75,67,73,75,60,58,69,71,65,61,72,66,51,51,53,69,63,76,57,55,61,59
56,68,58,67,52,61,63,76,44,61,70,67,48,57,68,58,68,75,55,58,63,71
63,70,64,72,56,64,58,69,68,70,75,66,65,62,67,64,68,75,58,59,53,64
65,60,71,72,67,72,68,72,54,55,71,79,72,76,61,71,68,75,63,49,73,68
68,66,70,70,62,67,73,74,69,70,75,68,66,66,56,71,68,75,63,74,81,75
65,62,69,62,74,72,73,69,68,59,77,79,74,77,74,67,72,67,61,58,73,67
52,49,74,72,72,76,77,77,67,66,78,70,79,75,79,79,78,71,63,50,66,68
65,77,64,65,56,62,61,69,71,74,74,65,54,59,68,65,74,78,64,65,59,68
61,58,66,74,68,68,72,71,40,42,78,79,69,75,69,67,69,69,52,59,75,76
67,59,60,65,69,69,73,70,66,63,75,74,73,71,64,71,70,70,63,67,66,69
64,55,65,57,64,63,75,76,59,55,56,67,64,60,60,64,63,66,62,65,79,77
66,65,69,68,75,63,77,77,68,68,71,63,65,56,65,72,70,74,64,73,77,70
61,57,71,71,73,70,76,74,66,63,80,68,65,62,67,64,67,75,63,76,72,70
67,65,73,78,60,57,66,62,63,63,81,72,55,55,57,65,66,74,64,74,69,73
71,71,71,72,77,72,73,65,69,65,67,73,67,75,58,58,58,69,66,52,65,58
68,49,62,59,67,64,68,67,71,62,75,64,62,64,67,65,66,67,61,72,69,57
74,76,72,74,70,71,73,77,70,73,74,73,67,62,69,73,75,76,60,62,71,75
67,68,70,72,70,72,70,76,68,71,74,75,70,71,69,67,66,63,57,51,76,76
70,76,62,67,74,72,80,76,55,59,69,63,69,63,57,47,52,64,66,71,60,62
58,74,69,74,45,44,56,49,57,62,75,59,57,57,67,46,42,68,68,69,47,52
65,77,72,73,57,60,59,68,65,70,80,70,58,61,69,65,72,74,60,50,45,66
57,47,64,71,63,69,64,71,61,60,69,73,74,73,62,64,70,77,65,58,66,68
42,51,72,56,72,67,58,54,56,56,61,44,38,47,68,42,45,62,47,58,51,54
73,62,69,70,73,67,76,77,72,66,73,66,70,59,58,67,66,71,66,71,70,61
61,66,70,75,60,60,74,75,64,67,75,65,55,51,67,61,64,78,62,66,50,59
23,60,54,35,43,64,32,46,29,28,74,60,53,56,59,28,25,67,59,57,39,39
59,57,70,72,62,44,76,72,53,56,69,58,56,54,53,51,38,67,71,66,68,46
72,73,62,66,66,64,70,75,62,67,64,53,47,35,71,66,67,73,57,61,70,61
68,60,63,60,45,36,72,55,50,56,48,61,18,32,26,39,44,64,44,60,63,59
62,63,66,62,67,66,80,79,55,55,66,58,42,49,86,59,52,74,58,76,67,58
37,23,70,67,56,49,26,20,36,32,72,71,75,76,59,22,15,72,64,51,21,22
75,67,79,72,64,58,72,68,60,62,70,70,46,43,51,71,65,77,67,70,73,66
65,62,68,74,57,56,62,60,65,63,77,77,61,53,69,59,62,76,62,75,67,69
72,64,69,75,67,59,79,68,68,56,74,73,62,46,65,52,36,73,58,72,65,48
69,65,70,74,64,71,70,74,66,67,82,69,66,64,71,68,69,72,59,65,68,76
62,54,46,44,72,66,56,67,56,56,77,68,64,64,68,38,40,64,53,66,47,48
47,50,64,71,71,71,53,79,39,39,64,73,75,74,64,37,40,75,65,43,41,43
64,69,72,82,36,43,72,73,57,63,78,61,24,17,61,63,67,74,57,59,48,74
69,69,73,72,66,63,76,72,69,66,76,76,65,63,70,60,63,75,62,69,73,69
55,62,64,62,64,74,71,67,63,66,77,68,67,75,73,65,67,72,64,54,63,66
64,51,64,54,70,71,70,72,64,52,64,64,76,71,64,68,63,62,56,57,72,70
54,52,72,69,73,56,69,67,67,61,72,66,72,67,58,73,70,72,61,67,76,66
65,57,58,51,70,63,71,76,58,58,63,63,76,67,66,67,63,54,56,59,75,71
69,75,65,67,59,60,77,76,70,68,78,68,61,63,70,67,65,69,55,69,68,65
73,73,75,79,64,66,68,61,71,68,79,75,65,59,56,63,67,73,60,73,70,72
68,58,76,71,64,70,73,75,61,58,78,74,72,80,69,67,67,74,58,58,70,67
32,41,76,34,65,53,30,54,16,51,66,49,17,19,42,53,30,9,61,67,29,31
76,65,60,40,32,34,65,50,53,37,65,43,23,23,77,48,32,32,48,65,43,39
60,51,75,60,65,45,64,55,55,61,69,54,51,47,80,69,48,59,72,69,62,53
64,60,71,69,71,65,66,64,68,59,68,69,66,59,40,55,53,63,71,66,65,65
65,69,66,76,58,67,65,72,66,64,45,46,64,48,27,65,67,72,62,71,72,69
71,76,74,79,71,69,77,75,64,64,65,62,56,48,50,65,63,75,64,64,61,65
55,66,58,75,71,77,68,73,63,69,80,72,53,60,58,46,67,84,69,62,67,66
76,77,69,70,64,69,76,80,50,56,73,47,43,46,80,73,73,65,60,54,64,66
70,72,65,64,71,69,75,76,65,68,69,68,49,44,48,65,68,72,57,64,76,73
64,72,70,74,63,70,73,74,61,69,81,69,65,65,75,67,71,74,54,64,69,71
76,59,82,76,80,56,74,67,67,58,79,45,49,48,70,64,35,60,39,73,71,49
54,53,73,68,77,65,65,72,60,50,67,69,69,78,67,69,61,71,67,55,70,61
68,59,77,69,77,64,75,71,64,53,66,75,72,67,53,72,64,77,66,70,70,59
64,63,62,59,60,61,70,74,68,63,72,62,63,55,56,65,64,71,61,69,77,65
40,73,61,74,61,67,56,75,64,71,63,73,57,63,69,60,66,71,57,67,59,66
70,72,70,70,65,69,70,65,69,72,74,65,71,68,64,66,68,75,67,66,69,65
66,64,64,66,67,72,72,77,65,66,75,58,58,61,60,59,60,65,58,76,73,75
68,70,69,74,65,70,72,73,71,68,70,72,62,63,61,66,66,80,70,60,69,62
64,58,70,78,66,66,74,72,66,63,74,58,60,53,58,62,61,72,64,77,74,72
58,63,80,71,76,70,70,71,64,63,71,85,71,71,47,42,39,70,50,58,76,73
61,68,62,70,76,79,71,71,73,77,80,73,61,67,61,66,68,71,67,66,67,66
73,80,78,78,75,73,78,75,70,66,76,67,60,60,63,62,58,77,59,68,64,64
56,56,63,66,76,76,68,73,62,54,56,61,73,64,60,66,74,75,65,60,61,73
73,74,65,66,69,69,67,81,65,62,61,70,67,63,66,70,70,70,66,72,74,76
59,58,69,74,71,73,70,68,57,55,75,75,73,69,61,71,75,77,65,61,74,71
74,69,75,70,70,74,77,77,65,67,74,63,66,61,63,74,69,75,65,63,71,68
72,61,64,66,64,59,68,66,76,66,81,67,69,68,68,69,64,73,56,67,69,68
75,73,72,77,68,67,76,73,67,65,74,73,67,69,69,68,68,74,61,72,79,75
59,62,72,74,66,66,74,76,63,67,72,76,65,69,66,64,65,72,57,67,77,78
64,66,68,71,62,64,74,73,63,67,81,78,61,62,72,67,67,75,65,68,75,72
